,predicted_demand,signal,demand_percentile,renewable_share,residual_load,confidence,position_size
2023-06-30,4875.677328902985,0,0.8702702702702703,0.16029411996114165,4094.1349222519916,0.0,500.0
2023-07-01,4619.837484203465,0,0.7405405405405405,0.2289036090824503,3562.340010694904,0.0,500.0
2023-07-02,4794.42849727646,0,0.8378378378378378,0.18985328683041053,3884.1904885951376,0.0,500.0
2023-07-03,5322.436930900359,1,1.0,0.2185628498011256,4159.149947396019,0.6357285836647906,1135.7285836647907
2023-07-04,5221.967376362245,1,0.972972972972973,0.16985074338763226,4335.012335541154,0.44664515741701005,946.6451574170101
2023-07-05,5229.942987549159,1,0.9783783783783784,0.20446837210831048,4160.585058665708,0.44300316360326647,943.0031636032666
2023-07-06,4904.269125813654,0,0.8810810810810811,0.19248830805961722,3960.2546595167655,0.0,500.0
2023-07-07,4615.569364580615,0,0.7297297297297297,0.2588389275942381,3420.8803400157494,0.0,500.0
2023-07-08,4501.55506182871,0,0.6162162162162163,0.21339283630288935,3540.9554594114525,0.0,500.0
2023-07-09,4585.371547941138,0,0.7027027027027027,0.21781814603833335,3586.594418471676,0.0,500.0
2023-07-10,5016.498276874426,0,0.9243243243243243,0.1806545537089831,4110.245019483794,0.0,500.0
2023-07-11,5317.958935599367,1,0.9945945945945946,0.17722255820082033,4375.496648625535,0.650575015611246,1150.575015611246
2023-07-12,5010.176857622793,0,0.918918918918919,0.18037340067527038,4106.4742198288295,0.0,500.0
2023-07-13,4440.920536796776,0,0.5675675675675675,0.22216621305287337,3454.2980386679023,0.0,500.0
2023-07-14,4545.484921722114,0,0.6594594594594595,0.18188040190474203,3718.7502973073515,0.0,500.0
2023-07-15,4628.9931157655565,0,0.7621621621621621,0.2179479689282434,3620.113468001632,0.0,500.0
2023-07-16,4592.922842529159,0,0.7081081081081081,0.30780228934728265,3179.210676803255,0.0,500.0
2023-07-17,5018.272285448576,0,0.9297297297297298,0.24820476131292363,3772.7132106355525,0.0,500.0
2023-07-18,5040.45462461574,0,0.9405405405405406,0.18900669703792142,4087.7749444476026,0.0,500.0
2023-07-19,4621.340386969926,0,0.745945945945946,0.26607079265923556,3391.7366870606993,0.0,500.0
2023-07-20,4644.679531060901,0,0.772972972972973,0.1863512181206341,3779.1378426677265,0.0,500.0
2023-07-21,4506.571490683274,0,0.6270270270270271,0.10563609682239254,4030.5148683564216,0.0,500.0
2023-07-22,4652.652321670117,0,0.7783783783783784,0.15796755812899985,3917.6841955926666,0.0,500.0
2023-07-23,4865.148097736247,0,0.8648648648648649,0.11570379518757755,4302.23199867854,0.0,500.0
2023-07-24,4597.301840419223,0,0.7135135135135136,0.19258094382175753,3711.949112957786,0.0,500.0
